作者,詩名,內容
李白,清平樂·禁闈清夜,禁闈清夜，月探金窗罅。玉帳鴛鴦噴蘭麝，時落銀燈香□。女伴莫話孤眠，六宮羅綺三千。一笑皆生百媚，宸衷教在誰邊？
李白,蜀道難,"噫籲嚱，危乎高哉！蜀道之難，難於上青天！蠶叢及魚鳧，開國何茫然！爾來四萬八千歲，不與秦塞通人煙。西當太白有鳥道，可以橫絕峨眉巔。地崩山摧壯士死，然後天梯石棧相鉤連。上有六龍回日之高標，下有衝波逆折之回川。黃鶴之飛尚不得過，猿猱欲度愁攀援。青泥何盤盤，百步九折縈岩巒。捫參曆井仰脅息，以手撫膺坐長歎。問君西遊何時還？畏途巉岩不可攀。但見悲鳥號古木，雄飛雌從繞林間。又聞子規啼夜月，愁空山。蜀道之難,難於上青天，使人聽此凋朱顏！連峰去天不盈尺，枯鬆倒掛倚絕壁。飛湍瀑流爭喧豗，砯崖轉石萬壑雷。其險也如此，嗟爾遠道之人胡為乎來哉！(也若此 一作：也如此)劍閣崢嶸而崔嵬，一夫當關，萬夫莫開。所守或匪親，化為狼與豺。朝避猛虎，夕避長蛇；磨牙吮血，殺人如麻。錦城雖雲樂，不如早還家。蜀道之難,難於上青天，側身西望長谘嗟！ 
        "
李白,送友人,青山橫北郭，白水繞東城。此地一為彆，孤蓬萬裡征。浮雲遊子意，落日故人情。揮手自茲去，蕭蕭班馬鳴。
李白,聞王昌齡左遷龍標，遙有此寄,楊花落儘子規啼，聞道龍標過五溪。我寄愁心與明月，隨君直到夜郎西。
李白,俠客行,趙客縵胡纓，吳鉤霜雪明。銀鞍照白馬，颯遝如流星。十步殺一人，千裡不留行。事了拂衣去，深藏身與名。閒過信陵飲，脫劍膝前橫。將炙啖朱亥，持觴勸侯嬴。三杯吐然諾，五嶽倒為輕。眼花耳熱後，意氣素霓生。救趙揮金槌，邯鄲先震驚。千秋二壯士，煊赫大梁城。縱死俠骨香，不慚世上英。誰能書閤下，白首太玄經。
李白,行路難 其二,"大道如青天，我獨不得出。羞逐長安社中兒，赤雞白狗賭梨栗。彈劍作歌奏苦聲，曳裾王門不稱情。淮陰市井笑韓信，漢朝公卿忌賈生。君不見昔時燕家重郭隗，擁篲折節無嫌猜。劇辛樂毅感恩分，輸肝剖膽效英才。昭王白骨縈蔓草，誰人更掃黃金台？行路難，歸去來！
分类标签：唐詩三百首 

"
李白,行路難 其一,金樽清酒鬥十千，玉盤珍羞直萬錢。停杯投箸不能食，拔劍四顧心茫然。欲渡黃河冰塞川，將登太行雪滿山。閒來垂釣碧溪上，忽複乘舟夢日邊。行路難，行路難，多歧路，今安在。長風破浪會有時，直掛雲帆濟滄海。
李白,行路難·有耳莫洗潁川水,"有耳莫洗潁川水，有口莫食首陽蕨。含光混世貴無名，何用孤高比雲月？吾觀自古賢達人，功成不退皆殞身。子胥既棄吳江上，屈原終投湘水濱。陸機雄才豈自保？李斯稅駕苦不早。華亭鶴唳詎可聞？上蔡蒼鷹何足道？君不見吳中張翰稱達生，秋風忽憶江東行。且樂生前一杯酒，何須身後千載名？ 
        "
李白,宣州謝朓樓餞彆校書叔雲,棄我去者，昨日之日不可留；亂我心者，今日之日多煩憂。長風萬裡送秋雁，對此可以酣高樓。蓬萊文章建安骨，中間小謝又清發。俱懷逸興壯思飛，欲上青天攬明月。抽刀斷水水更流，舉杯銷愁愁更愁。人生在世不稱意，明朝散發弄扁舟。
李白,憶秦娥·簫聲咽,簫聲咽，秦娥夢斷秦樓月。秦樓月，年年柳色，灞陵傷彆。樂遊原上清秋節，鹹陽古道音塵絕。音塵絕，西風殘照，漢家陵闕。
李白,玉階怨,玉階生白露，夜久侵羅襪。卻下水晶簾，玲瓏望秋月。
李白,古朗月行,小時不識月，呼作白玉盤。又疑瑤台鏡，飛在白雲端。仙人垂兩足，桂樹作團團。白兔搗藥成，問言與誰餐。蟾蜍蝕圓影，大明夜已殘。羿昔落九烏，天人清且安。陰精此淪惑，去去不足觀。憂來其如何，淒愴摧心肝。
李白,短歌行,白日何短短，百年苦易滿。蒼穹浩茫茫，萬劫太極長。麻姑垂兩鬢，一半已成霜。天公見玉女，大笑億千場。吾欲攬六龍，回車掛扶桑。北鬥酌美酒，勸龍各一觴。富貴非所願，與人駐顏光。
李白,從軍行,從軍玉門道，逐虜金微山。笛奏梅花曲，刀開明月環。鼓聲鳴海上，兵氣擁雲間。願斬單於首，長驅靜鐵關。
李白,秋思,春陽如昨日，碧樹鳴黃鸝。蕪然蕙草暮，颯爾涼風吹。天秋木葉下，月冷莎雞悲。坐愁群芳歇，白露凋華滋。
李白,秋思,燕支黃葉落，妾望自登台。海上碧雲斷，單於秋色來。胡兵沙塞合，漢使玉關回。征客無歸日，空悲蕙草摧。
李白,峨眉山月歌,峨眉山月半輪秋，影入平羌江水流。夜發清溪向三峽，思君不見下渝州。
李白,越中覽古,越王句踐破吳歸，義士還鄉儘錦衣。宮女如花滿春殿，隻今惟有鷓鴣飛。
李白,從軍行,百戰沙場碎鐵衣，城南已合數重圍。突營射殺呼延將，獨領殘兵千騎歸。
李白,獨坐敬亭山,合遝牽數峰，奔地鎮平楚。中間最高頂，髣髴接天語。
李白,客中行,蘭陵美酒鬱金香，玉碗盛來琥珀光。但使主人能醉客，不知何處是他鄉。
李白,送友人入蜀,見說蠶叢路，崎嶇不易行。山從人麵起，雲傍馬頭生。芳樹籠秦棧，春流繞蜀城。升沉應已定，不必問君平。
李白,贈孟浩然,吾愛孟夫子，風流天下聞。紅顏棄軒冕，白首臥鬆雲。醉月頻中聖，迷花不事君。高山安可仰，徒此揖清芬。
李白,白馬篇,"龍馬花雪毛，金鞍五陵豪。秋霜切玉劍，落日明珠袍。鬥雞事萬乘，軒蓋一何高。弓摧南山虎，手接太行猱。酒後競風采，三杯弄寶刀。殺人如剪草，劇孟同遊遨。發憤去函穀，從軍向臨洮。叱吒經百戰，匈奴儘奔逃。歸來使酒氣，未肯拜蕭曹。羞入原憲室，荒淫隱蓬蒿。
        "
李白,白頭吟,錦水東北流，波蕩雙鴛鴦。雄巢漢宮樹，雌弄秦草芳。寧同萬死碎綺翼，不忍雲間兩分張。此時阿嬌正嬌妒，獨坐長門愁日暮。但願君恩顧妾深，豈惜黃金買詞賦。相如作賦得黃金，丈夫好新多異心。一朝將聘茂陵女，文君因贈白頭吟。東流不作西歸水，落花辭條羞故林。兔絲固無情，隨風任傾倒。誰使女蘿枝，而來強縈抱。兩草猶一心，人心不如草。莫卷龍須席，從他生網絲。且留琥珀枕，或有夢來時。覆水再收豈滿杯，棄妾已去難重回。古來得意不相負，隻今惟見青陵台。
李白,金陵酒肆留彆,風吹柳花滿店香，吳姬壓酒喚客嘗。金陵子弟來相送，欲行不行各儘觴。請君試問東流水，彆意與之誰短長。
李白,勞勞亭,天下傷心處，勞勞送客亭。春風知彆苦，不遣柳條青。
李白,廬山謠寄盧侍禦虛舟,我本楚狂人，鳳歌笑孔丘。手持綠玉杖，朝彆黃鶴樓。五嶽尋仙不辭遠，一生好入名山遊。廬山秀出南鬥傍，屏風九疊雲錦張，影落明湖青黛光。金闕前開二峰長，銀河倒掛三石梁。香爐瀑布遙相望，回崖遝嶂淩蒼蒼。翠影紅霞映朝日，鳥飛不到吳天長。登高壯觀天地間，大江茫茫去不還。黃雲萬裡動風色，白波九道流雪山。好為廬山謠，興因廬山發。閒窺石鏡清我心，謝公行處蒼苔冇。早服還丹無世情，琴心三疊道初成。遙見仙人彩雲裡，手把芙蓉朝玉京。先期汗漫九垓上，願接盧敖遊太清。
李白,烏夜啼,黃雲城邊烏欲棲，歸飛啞啞枝上啼。機中織錦秦川女，碧紗如煙隔窗語。停梭悵然憶遠人，獨宿孤房淚如雨。
李白,妾薄命,漢帝寵阿嬌，貯之黃金屋。咳唾落九天，隨風生珠玉。寵極愛還歇，妒深情卻疏。長門一步地，不肯暫回車。雨落不上天，水覆難再收。君情與妾意，各自東西流。昔日芙蓉花，今成斷根草。以色事他人，能得幾時好。
李白,山中問答,問餘何意棲碧山，笑而不答心自閒。桃花流水窅然去，彆有天地非人間。
李白,送彆,鬥酒渭城邊，壚頭醉不眠。梨花千樹雪，楊葉萬條煙。惜彆傾壺醑，臨分贈馬鞭。看君潁上去，新月到應圓。
李白,送彆,水色南天遠，舟行若在虛。遷人發佳興，吾子訪閒居。日落看歸鳥，潭澄羨躍魚。聖朝思賈誼，應降紫泥書。
李白,聽蜀僧浚彈琴,蜀僧抱綠綺，西下峨眉峰。為我一揮手，如聽萬壑鬆。客心洗流水，餘響入霜鐘。不覺碧山暮，秋雲暗幾重。
李白,下終南山過斛斯山人宿置酒,暮從碧山下，山月隨人歸。卻顧所來徑，蒼蒼橫翠微。相攜及田家，童稚開荊扉。綠竹入幽徑，青蘿拂行衣。歡言得所憩，美酒聊共揮。長歌吟鬆風，曲儘河星稀。我醉君複樂，陶然共忘機。
李白,楊叛兒,君歌楊叛兒，妾勸新豐酒。何許最關人，烏啼白門柳。烏啼隱楊花，君醉留妾家。博山爐中沉香火，雙煙一氣淩紫霞。
李白,夜泊牛渚懷古,牛渚西江夜，青天無片雲。登舟望秋月，空憶謝將軍。餘亦能高詠，斯人不可聞。明朝掛帆席，楓葉落紛紛。
李白,遠彆離,遠彆離，古有皇英之二女，乃在洞庭之南，瀟湘之浦。海水直下萬裡深，誰人不言此離苦。日慘慘兮雲冥冥，猩猩啼煙兮鬼嘯雨。我縱言之將何補，皇穹竊恐不照餘之忠誠。雲憑憑兮欲吼怒，堯舜當之亦禪禹。君失臣兮龍為魚，權歸臣兮鼠變虎。或言堯幽囚，舜野死，九疑聯綿皆相似，重瞳孤墳竟何是。帝子泣兮綠雲間，隨風波兮去無還。慟哭兮遠望，見蒼梧之深山。蒼梧山崩湘水絕，竹上之淚乃可滅。
李白,怨情,美人卷珠簾，深坐顰蛾眉。但見淚痕濕，不知心恨誰。
李白,戰城南,去年戰，桑乾源。今年戰，蔥河道。洗兵條支海上波，放馬天山雪中草。萬裡長征戰，三軍儘衰老。匈奴以殺戮為耕作，古來唯見白骨黃沙田。秦家築城避胡處，[1]漢家還有烽火燃。烽火燃不息，征戰無已時。[2]野戰格鬥死，敗馬號鳴向天悲。鳥鳶啄人腸，銜飛上掛枯樹枝。[3]士卒塗草莽，將軍空爾為。乃知兵者是凶器，聖人不得已而用之。
李白,梁甫吟,"長嘯梁甫吟，何時見陽春？君不見，朝歌屠叟辭棘津，八十西來釣渭濱。寧羞白發照清水，逢時壯氣思經綸。廣張三千六百釣，風期暗與文王親。大賢虎變愚不測，當年頗似尋常人。君不見，高陽酒徒起草中，長揖山東隆準公。入門不拜逞雄辯，兩女輟洗來趨風。東下齊城七十二，指揮楚漢如旋蓬。狂客落魄尚如此，何況壯士當群雄！我欲攀龍見明主，雷公砰訇震天鼓。帝旁投壺多玉女，三時大笑開電光，倏爍晦冥起風雨。閶闔九門不可通，以額扣關閽者怒。白日不照我精誠，杞國無事憂天傾。猰貐磨牙競人肉，騶虞不折生草莖。手接飛猱搏雕虎，側足焦原未言苦。智者可卷愚者豪，世人見我輕鴻毛。力排南山三壯士，齊相殺之費二桃。吳楚弄兵無劇孟，亞夫咍爾為徒勞。梁甫吟，聲正悲。張公兩龍劍，神物合有時。風雲感會起屠釣，大人臲屼當安之。 
        "
李白,北風行,燭龍棲寒門，光曜猶旦開。日月照之何不及此，唯有北風號怒天上來。燕山雪花大如席，片片吹落軒轅台。幽州思婦十二月，停歌罷笑雙蛾摧。倚門望行人，念君長城苦寒良可哀。彆時提劍救邊去，遺此虎紋金鞞靫。中有一雙白羽箭，蜘蛛結網生塵埃。箭空在，人今戰死不複回。不忍見此物，焚之已成灰。黃河捧土尚可塞，北風雨雪恨難裁。
李白,陌上桑,美女渭橋東，春還事蠶作。五馬如飛龍，青絲結金絡。不知誰家子，調笑來相謔。妾本秦羅敷，玉顏豔名都。綠條映素手，采桑向城隅。使君且不顧，況複論秋胡。寒螿愛碧草，鳴鳳棲青梧。托心自有處，但怪傍人愚。徒令白日暮，高駕空踟躕。
李白,長歌行,"桃李得日開，榮華照當年。東風動百物，草木儘欲言。

枯枝無醜葉，涸水吐清泉。大力運天地，羲和無停鞭。

功名不早著，竹帛將何宣。桃李務青春，誰能貫白日。

富貴與神仙，蹉跎成兩失。金石猶銷鑠，風霜無久質。

畏落日月後，強歡歌與酒。秋霜不惜人，倏忽侵蒲柳。


        "
李白,襄陽歌,落日欲冇峴山西，倒著接籬花下迷。襄陽小兒齊拍手，攔街爭唱白銅鞮。傍人借問笑何事，笑殺山翁醉似泥。鸕鶿杓，鸚鵡杯。百年三萬六千日，一日須傾三百杯。遙看漢水鴨頭綠，恰似葡萄初醱醅。此江若變作春酒，壘麹便築糟丘台。千金駿馬換小妾，笑坐雕鞍歌落梅。車傍側掛一壺酒，鳳笙龍管行相催。鹹陽市中歎黃犬，何如月下傾金罍。君不見晉朝羊公一片石，龜頭剝落生莓苔。淚亦不能為之墮，心亦不能為之哀。清風朗月不用一錢買，玉山自倒非人推。舒州杓，力士鐺，李白與爾同死生。襄王雲雨今安在，江水東流猿夜聲。
李白,梁園吟,我浮黃雲去京闕，掛席欲進波連山。天長水闊厭遠涉，訪古始及平台間。平台為客憂思多，對酒遂作梁園歌。卻憶蓬池阮公詠，因吟淥水揚洪波。洪波浩蕩迷舊國，路遠西歸安可得。人生達命豈暇愁，且飲美酒登高樓。平頭奴子搖大扇，五月不熱疑清秋。玉盤楊梅為君設，吳鹽如花皎白雪。持鹽把酒但飲之，莫學夷齊事高潔。昔人豪貴信陵君，今人耕種信陵墳。荒城虛照碧山月，古木儘入蒼梧雲。梁王宮闕今安在，枚馬先歸不相待。舞影歌聲散綠池，空餘汴水東流海。沉吟此事淚滿衣，黃金買醉未能歸。連呼五白行六博，分曹賭酒酣馳輝。歌且謠，意方遠。東山高臥時起來，欲濟蒼生未應晚。
李白,清溪行  ( 一作宣州清溪 ),清溪清我心，水色異諸水。借問新安江，見底何如此。人行明鏡中，鳥度屏風裡。向晚猩猩啼，空悲遠遊子。
李白,古意,君為女蘿草，妾作兔絲花。輕條不自引，為逐春風斜。百丈托遠鬆，纏綿成一家。誰言會麵易，各在青山崖。女蘿發馨香，兔絲斷人腸。枝枝相糾結，葉葉競飄揚。生子不知根，因誰共芬芳。中巢雙翡翠，上宿紫鴛鴦。若識二草心，海潮亦可量。
李白,憶舊遊寄譙郡元參軍,憶昔洛陽董糟丘，為餘天津橋南造酒樓。黃金白璧買歌笑，一醉累月輕王侯。海內賢豪青雲客，就中與君心莫逆。回山轉海不作難，傾情倒意無所惜。我向淮南攀桂枝，君留洛北愁夢思。不忍彆，還相隨。相隨迢迢訪仙城，三十六曲水回縈。一溪初入千花明，萬壑度儘鬆風聲。銀鞍金絡倒平地，漢東太守來相迎。紫陽之真人，邀我吹玉笙。餐霞樓上動仙樂，嘈然宛似鸞鳳鳴。袖長管催欲輕舉，漢中太守醉起舞。手持錦袍覆我身，我醉橫眠枕其股。當筵意氣淩九霄，星離雨散不終朝，分飛楚關山水遙。餘既還山尋故巢，君亦歸家渡渭橋。君家嚴君勇貔虎，作尹並州遏戎虜。五月相呼度太行，摧輪不道羊腸苦。行來北涼歲月深，感君貴義輕黃金。瓊杯綺食青玉案，使我醉飽無歸心。時時出向城西曲，晉祠流水如碧玉。浮舟弄水簫鼓鳴，微波龍鱗莎草綠。興來攜妓恣經過，其若楊花似雪何。紅妝欲醉宜斜日，百尺清潭寫翠娥。翠娥嬋娟初月輝，美人更唱舞羅衣。清風吹歌入空去，歌曲自繞行雲飛。此時行樂難再遇，西遊因獻長楊賦。北闕青雲不可期，東山白首還歸去。渭橋南頭一遇君，酂台之北又離群。問餘彆恨知多少，落花春暮爭紛紛。言亦不可儘，情亦不可極。呼兒長跪緘此辭，寄君千裡遙相憶。
李白,南陵彆兒童入京,白酒新熟山中歸，黃雞啄黍秋正肥。呼童烹雞酌白酒，兒女嬉笑牽人衣。高歌取醉欲自慰，起舞落日爭光輝。遊說萬乘苦不早，著鞭跨馬涉遠道。會稽愚婦輕買臣，餘亦辭家西入秦。仰天大笑出門去，我輩豈是蓬蒿人。
李白,送彆,尋陽五溪水，沿洄直入巫山裡。勝境由來人共傳，君到南中自稱美。送君彆有八月秋，颯颯蘆花複益愁。雲帆望遠不相見，日暮長江空自流。
李白,答王十二寒夜獨酌有懷,昨夜吳中雪，子猷佳興發。萬裡浮雲卷碧山，青天中道流孤月。孤月滄浪河漢清，北鬥錯落長庚明。懷餘對酒夜霜白，玉床金井水崢嶸。人生飄忽百年內，且須酣暢萬古情。君不能狸膏金距學鬥雞，坐令鼻息吹虹霓。君不能學哥舒橫行青海夜帶刀，西屠石堡取紫袍。吟詩作賦北窗裡，萬言不直一杯水。世人聞此皆掉頭，有如東風射馬耳。魚目亦笑我，請與明月同。驊騮拳跼不能食，蹇驢得誌鳴春風。折楊皇華合流俗，晉君聽琴枉清角。巴人誰肯和陽春。楚地由來賤奇璞。黃金散儘交不成，自首為儒身被輕。一談一笑失顏色，蒼蠅貝錦喧謗聲。曾參豈是殺人者，讒言三及慈母驚。與君論心握君手，榮辱於餘亦何有。孔聖猶聞傷鳳麟，董龍更是何雞狗。一生傲岸苦不諧，恩疏媒勞誌多乖。嚴陵高揖漢天子，何必長劍拄頤事玉階。達亦不足貴，窮亦不足悲。韓信羞將絳灌比，禰衡恥逐屠沽兒。君不見李北海，英風豪氣今何在。君不見裴尚書，土墳三尺蒿棘居。少年早欲五湖去，見此彌將鐘鼎疏。
李白,與夏十二登嶽陽樓,樓觀嶽陽儘，川迥洞庭開。雁引愁心去，山銜好月來。雲間連下榻，天上接行杯。醉後涼風起，吹人舞袖回。
李白,訪戴天山道士不遇,犬吠水聲中，桃花帶雨濃。樹深時見鹿，溪午不聞鐘。野竹分青靄，飛泉掛碧峰。無人知所去，愁倚兩三鬆。
李白,雜詩,白日與明月，晝夜尚不閒。況爾悠悠人，安得久世間。傳聞海水上，乃有蓬萊山。玉樹生綠葉，靈仙每登攀。一食駐玄發，再食留紅顏。吾欲從此去，去之無時還。
李白,戰城南,戰地何昏昏。戰士如群蟻。氣重日輪紅。血染蓬蒿紫。烏烏銜人肉。食悶飛不起。昨日城上人。今日城下鬼。旗色如羅星。鼙聲殊未已。妾家夫與兒。俱在鼙聲裡。
李白,采蓮曲,若耶溪邊采蓮女，笑隔荷花共人語。日照新妝水底明，風飄香袖空中舉。岸上誰家遊冶郎，三三五五映垂楊。紫騮嘶入落花去，見此踟躕空斷腸。
李白,怨情,新人如花雖可寵，故人似玉由來重。花性飄揚不自持，玉心皎潔終不移。故人昔新今尚故，還見新人有故時。請看陳後黃金屋，寂寂珠簾生網絲。
李白,秋登宣城謝眺北樓,江城如畫裡，山曉望晴空。兩水夾明鏡，雙橋落彩虹。人煙寒橘柚，秋色老梧桐。誰念北樓上，臨風懷謝公。
李白,長門怨,天回北鬥掛西樓，金屋無人螢火流。月光欲到長門殿，彆作深宮一段愁。桂殿長愁不記春，黃金四屋起秋塵。夜懸明鏡青天上，獨照長門宮裡人。
李白,草書歌行,少年上人號懷素，草書天下稱獨步。墨池飛出北溟魚，筆鋒殺儘中山兔。八月九月天氣涼，酒徒詞客滿高堂。箋麻素絹排數廂，宣州石硯墨色光。吾師醉後倚繩床，須臾掃儘數千張。飄風驟雨驚颯颯，落花飛雪何茫茫。起來向壁不停手，一行數字大如鬥。怳怳如聞神鬼驚，時時隻見龍蛇走。左盤右蹙如驚電，狀同楚漢相攻戰。湖南七郡凡幾家，家家屏障書題遍。王逸少，張伯英，古來幾許浪得名。張顛老死不足數，我師此義不師古。古來萬事貴天生，何必要公孫大娘渾脫舞。
李白,江上吟,"木蘭之枻沙棠舟，玉簫金管坐兩頭。美酒樽中置千斛，載妓隨波任去留。仙人有待乘黃鶴，海客無心隨白鷗。屈平辭賦懸日月，楚王台榭空山丘。興酣落筆搖五嶽，詩成笑傲淩滄洲。功名富貴若長在，漢水亦應西北流。
"
李白,秋浦歌十七首,其一秋浦長似秋，蕭條使人愁。客愁不可度，行上東大樓。正西望長安，下見江水流。寄言向江水，汝意憶儂不。遙傳一掬淚，為我達揚州。其二秋浦猿夜愁，黃山堪白頭。清溪非隴水，翻作斷腸流。欲去不得去，薄遊成久遊。何年是歸日，雨淚下孤舟。其三秋浦錦駝鳥，人間天上稀。山雞羞淥水，不敢照毛衣。其四兩鬢入秋浦，一朝颯已衰。猿聲催白發，長短儘成絲。其五秋浦多白猿，超騰若飛雪。牽引條上兒，飲弄水中月。其六愁作秋浦客，強看秋浦花。山川如剡縣，風日似長沙。其七醉上山公馬，寒歌寧戚牛。空吟白石爛，淚滿黑貂裘。其八秋浦千重嶺，水車嶺最奇。天傾欲墮石，水拂寄生枝。其九江祖一片石，青天掃畫屏。題詩留萬古，綠字錦苔生。其十千千石楠樹，萬萬女貞林。山山白鷺滿，澗澗白猿吟。君莫向秋浦，猿聲碎客心。其十一邏人橫鳥道，[1]江祖出魚梁。水急客舟疾，[2]山花拂麵香。其十二水如一匹練，此地即平天。耐可乘明月，看花上酒船。其十三淥水淨素月，月明白鷺飛。郎聽采菱女，一道夜歌歸。其十四爐火照天地，紅星亂紫煙。赧郎明月夜，歌曲動寒川。其十五白發三千丈，緣愁似個長。不知明鏡裡，何處得秋霜。其十六秋浦田舍翁，采魚水中宿。妻子張白鷳，結罝映深竹。其十七祧波一步地，[3]了了語聲聞。黯與山僧彆，低頭禮白雲。
李白,日出入行,"日出東方隈，似從地底來。曆天又入海，六龍所舍安在哉？其始與終古不息，人非元氣安能與之久裴回。草不謝榮於春風，木不怨落於秋天。誰揮鞭策驅四運，萬物興歇皆自然。

羲和羲和，汝奚汩冇於荒淫之波。

魯陽何德，駐景揮戈。逆道違天，矯誣實多。

吾將囊括大塊，浩然與溟涬同科。


        "
李白,塞上曲,大漢無中策，匈奴犯渭橋。五原秋草綠，胡馬一何驕。命將征西極，橫行陰山側。燕支落漢家，婦女無華色。轉戰渡黃河，休兵樂事多。蕭條清萬裡，瀚海寂無波。
李白,烏棲曲,姑蘇台上烏棲時，吳王宮裡醉西施。吳歌楚舞歡未畢，青山欲銜半邊日。銀箭金壺漏水多，起看秋月墜江波。東方漸高奈樂何。
李白,天馬歌,天馬來出月支窟，背為虎文龍翼骨。嘶青雲，振綠發，蘭筋權奇走滅冇。騰昆侖，曆西極，四足無一蹶。雞鳴刷燕晡秣越，神行電邁躡慌惚。天馬呼，飛龍趨，目明長庚臆雙鳧。尾如流星首渴烏，口噴紅光汗溝朱。曾陪時龍躡天衢，羈金絡月照皇都。逸氣棱棱淩九區，白璧如山誰敢沽。回頭笑紫燕，但覺爾輩愚。天馬奔，戀君軒，駷躍驚矯浮雲翻。萬裡足躑躅，遙瞻閶闔門。不逢寒風子，誰采逸景孫。白雲在青天，丘陵遠崔嵬。鹽車上峻阪，倒行逆施畏日晚。伯樂翦拂中道遺，少儘其力老棄之。願逢田子方，惻然為我悲。雖有玉山禾，不能療苦饑。嚴霜五月凋桂枝，伏櫪銜冤摧兩眉。請君贖獻穆天子，猶堪弄影舞瑤池。
李白,上雲樂,金天之西，白日所冇。康老胡雛，生彼月窟。巉岩容儀，戍削風骨。碧玉炅炅雙目瞳，黃金拳拳兩鬢紅。華蓋垂下睫，嵩嶽臨上唇。不睹詭譎貌，豈知造化神。大道是文康之嚴父，元氣乃文康之老親。撫頂弄盤古，推車轉天輪。雲見日月初生時，鑄冶火精與水銀。陽烏未出穀，顧兔半藏身。女媧戲黃土，團作愚下人。散在六合間，濛濛若沙塵。生死了不儘，誰明此胡是仙真。西海栽若木，東溟植扶桑。彆來幾多時，枝葉萬裡長。中國有七聖，半路頹洪荒。陛下應運起，龍飛入鹹陽。赤眉立盆子，白水興漢光。叱吒四海動，洪濤為簸揚。舉足蹋紫微，天關自開張。老胡感至德，東來進仙倡。五色師子，九苞鳳凰。是老胡雞犬，鳴舞飛帝鄉。淋漓颯遝，進退成行。能胡歌，獻漢酒。跪雙膝，立兩肘。散花指天舉素手。拜龍顏，獻聖壽。北鬥戾，南山摧。天子九九八十一萬歲，長傾萬歲杯。
李白,擬古,融融白玉輝，映我青蛾眉。寶鏡似空水，落花如風吹。出門望帝子，蕩漾不可期。安得黃鶴羽，一報佳人知。
